"Applies to Edge Types","","","","","","","","","","","","","","","""Valid"" - Must put one of these values
""Recommened"" - Recommend this value but any value is accepted
"forbidden","forbidden","forbidden","optional
T3:recommended","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","ped_protection","Lists any features of traffic control that are intended to improve the protection of pedestrians while crossing. ","Array<Enum>","Valid","scramble / all pedestrian interval
leading pedestrian interval
no right on red
raised sidewalk
none
unknown","","","","","",""
"optional
T3:recommended","forbidden","forbidden","optional
T3:recommended","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","traffic_calming","Used to identify traffic calming features along a road, shared-use path or crossing. Implies that feature is present alongside the entirety of the edge. 

The fields that the traffic calming element(s) affect should be modified (i.e., a road narrowing should reduce the road's width field from its typical value). Recommended values are from https://www.ite.org/pub/?id=2a60c136-b1c0-b231-0522-ccbd075cac84  and https://wiki.openstreetmap.org/wiki/Key:traffic_calming  ","Array<Text>","Recommended","for road edge type: 
corner extension / bulb out, choker, narrowed road, chicane, closure, mini roundabout, diagonal diverter, lateral shift, median barrier/forced turn island, raised intersection, realigned intersection, road narrowing, speed hump, speed table, traffic circle 
for crossing edge type:
raised crossing ","","","","","",""
"optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","forbidden","seasonal","Indicates whether the segment is commonly affected by seasonal issues. Use this field for recurring (ex. yearly flooding) and not one-time (ex. single flood) events. Include both the seasonal concern and the season when it occurs as a JSON String.","Array<Object>","Recommended","season: spring, summer, fall, winter
seasonal issues: flooding, ice, snow, heavy rain, heat / lack of shade, low visibility, fog, wind","{""flooding"":""spring"",""fall""}; {""ice"":""winter"",""heavy rain"":""summer""}","","","","This might be expanded to include time-dependent restrictions too--also do we want to define the seasons or require dates?

Best to not try to reinvent the wheel - if this is needed, I suggest adopting the well-developed OSM `opening_hours=*` schema. https://wiki.openstreetmap.org/wiki/Key:opening_hours

",""
"optional","optional
T2:required","optional
T3:required","optional
T2:required","optional
T3:required","optional
T3:required","optional","optional
T2:required","optional
T2:required","optional
T2:required","optional
T2:required","forbidden","surface_material","Specifies the material used for the surface of the segment as of the inspection in ""check_date""","Enum","Valid","asphalt
concrete
gravel
grass
dirt
paved
unpaved
grass_paver
paving_stones
other","","OSM, OSW","","","",""
"optional","optional
T3:recommended
T4:required","optional
T3:recommended
T4:required","optional
T3:recommended
T4:required","optional
T3:recommended
T4:required","optional
T3:recommended
T4:required","optional","optional","optional
T3:recommended
T4:required","optional
T3:recommended
T4:required","optional
T3:recommended
T4:required","forbidden","surface_issue","yes, no, cracking, scaling, spalling, uneven, frequent water pooling, heaving, missing bricks/stones, potholes/holes, slickness, detectable warning surface damage, longitudinal cracks and seams, other","Text","Recommended","yes, no, cracking, scaling, spalling, uneven, frequent water pooling, heaving, missing bricks/stones, potholes/holes, slickness, detectable warning surface damage, longitudinal cracks and seams, metal plates, other","","","","","",""
"forbidden","optional
T2:recommended","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","pedestrian_lane","Indicates whether the stretch of sidewalk is a pedestrian lane, in which a section of the roadway surface is divided out for pedestrian use.","Enum","Valid","","","","","","Is this about the markings maybe? Thinking aloud. e.g. could we say an edge has markings for pedestrians and that implies the roadway is divided out? Trying to again have this serve two uses...

Right now we have this attribute on the sidewalk edge, not the road edge -- ie, you'd create a stretch of sidewalk that's on the road space because it's pedestrian dedicated. Reid and I discussed where it makes the most sense to have it, and other possibilities also made sense to us.

I see. So it's a ""sidewalk"" edge that spatially overlaps a road, but you flag it's part of the road by setting this property to true?
","Added location designator

Further refinement for draft #3? Proposal would be to move this to a marking designator, and include centerline markings in this same attribute. "
"optional
T2:required","optional
T2:required","optional
T3:required","optional
T2:required","optional
T3:required","forbidden","forbidden","optional
T2:required","optional
T2:required","optional","optional
T3:required","forbidden","incline","The running slope of the full segment. Assume the given incline is in the forward direction of the edge, regardless of edge directionality. Report as percentage of the slope, with two decimal points of precision. Cannot be negative.","Float","NA","[JG1]Grabbed from NACTO Bike design guide","3.25","OSM, OSW","","Probably need a source field to go alongside this? Or a metadata thing?","",""
"optional","optional
T2:required","optional
T3:required","optional
T2:required","optional
T3:recommended","forbidden","forbidden","optional","optional
T3:recommended","optional
T3:recommended","optional
T3:recommended","forbidden","cross_slope","The cross slope of the edge at most points along its path. Cross slope is never reported in negative numbers. Report as percentage of the slope, with two decimal points of precision. Cannot be negative.","Float","NA","","","","","","",""
"optional","optional
T3:recommended","optional
T3:recommended","optional
T3:recommended","optional
T3:recommended","forbidden","forbidden","optional","optional
T3:recommended","optional","optional
T3:recommended","forbidden","cross_slope_max","The cross slope of the edge at the point along its path where there is the greatest slope. Report as percentage of the slope, with two decimal points of precision. Cannot be negative.","Float","NA","","","","","","",""
"forbidden","conditionally_required","conditionally_required","conditionally_required","conditionally_required","conditionally_required","conditionally_required","forbidden","conditionally_required","conditionally_required","conditionally_required","forbidden","ada_compliance_date","Indicates the date when ADA compliance was assessed. Report in RFC 3339 format containing day, month and year, or just month and year or year if day or month is not available.. This field is conditionally required if ""ada_compliant_with"" is filled out.","Date","NA","","2025-03
2014","","","","",""
"forbidden","conditionally_required","conditionally_required","conditionally_required","conditionally_required","conditionally_required","conditionally_required","forbidden","conditionally_required","conditionally_required","conditionally_required","forbidden","ada_compliant_with","If this infrastructure has been assessed for ADA compliance, the specific ADA guidelines or standards used in the assessment. Also fill out ""ada_compliance_date."" If no ADA assessment is being reported, leave blank.","Enum","Valid","2010
PROWAG","","","","","I know ADA has teeth to require compliance.  Any other regulations, such as MUTCD, that may be required to be followed as part of GATIS?
",""
"optional","optional
T3:recommended
T4:required","optional
T3:recommended
T4:required","optional
T3:recommended
T4:required","optional
T3:recommended
T4:required","optional
T3:recommended
T4:required","optional","optional","optional
T3:recommended
T4:required","optional
T3:recommended
T4:required","optional
T3:recommended
T4:required","forbidden","impediment","Identifies the presence of an object that may pose a challenge for travelers passing along this edge. Mark an edge with this attribute only if the impediment is close enough to the footpath/pedestrian way or bike path to potentially pose a challenge. If left blank, the assumed value for this attribute is “unknown.”","Array<Text>","Recommended","yes, no, low overgrowth (lower than 27""), high overgrowth (27"" or higher), sign, low protrusion (lower than 27""), high protrusion (27"" or higher), utility cover, stormwater grate, metal plate, metal decking (ex. on bridges), other surface impediment, other impediment ","","","","","Did this/should this get moved to a issue point type?",""
"forbidden","forbidden","forbidden","forbidden","forbidden","optional
T3:recommended
T4:required","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","step_count","The number of steps that make up this set of stairs. Must be greater than zero.","Integer","NA","","","","","Only valid for type=stairs","",""
"forbidden","forbidden","forbidden","forbidden","forbidden","optional
T3:recommended
T4:required","forbidden","forbidden","forbidden","forbidden","optional
T3:recommended
T4:required","forbidden","handrail","Whether a handrail is available on this set of stairs.","Boolean","Valid","yes, no","","","","Only valid for type=stairs","",""
"forbidden","forbidden","forbidden","optional
T3:recommended","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","forbidden","rail_crossing","Used to indicate if a pedestrian or bicycle crossing is a railroad crossing. Use generic nodes to connect a rail crossing to the rest of the network. Note that there is also a value of ""rail tracks"" for the other_issue attribute for edges. Use rail_crossing for track crossings that people walking, rolling or biking will need to cross, and that have active rail traffic. The ""rail tracks"" value for other_issue can be used on other edge types or to identify remaining or unused tracks no longer traveled by trains.","Boolean","Valid","yes
no","","","","","","Suggest renaming: `railroad_crossing=yes|no`
"
"forbidden","optional
T3:recommended","optional
T3:recommended","optional
T2:recommended
T3:required","optional
T3:recommended","optional
T3:recommended","optional
T3:recommended","forbidden","optional
T3:recommended","optional
T3:recommended","forbidden","forbidden","visual_markings","The way the crossing is marked within the roadway space. “Standard” means two solid parallel lines that indicate the outline, “dashed lines” means two dashed parallel lines that indicate the outline, “zebra” means regularly spaced diagonal bars along its length, “continental” means regularly spaced horizontal bars along its length, and “ladder” means standard plus either zebra or continental.  ","Text","Recommended","yes
no
dashed lines
zebra
continental
ladder
transverse
other","","","","","Maybe add artistic? -Users can add anything besides the recommended values, but we can also add artistic to the recommended list 

Only applies to crossing type?",""
"optional","optional
T2:recommended
T3:required","optional
T2:recommended
T3:required","optional
T2:recommended
T3:required","optional
T2:recommended
T3:required","optional","optional","optional","optional","optional","optional","forbidden","tactile_marking","Indicates when tactile guidestrips or other markings are present to help identify the edge of a crosswalk or traffic island, the beginning or end of steps, or the presence of other infrastructure nearby, such as bike lanes. It is recommended to segment the edge so that this field is only equal to “yes” for the segment where the detectable warning appears. Do not use this field for tactile markings on curb ramps; instead, use the detectable_warning field for curb ramps.  ","Enum","Valid","yes
no
unknown","","","","","",""
"","","","","","","","","","","","","other_issue","Identifies whether this edge has another type of issue that may pose a challenge for travelers, besides impediments and surface damage. Includes design, construction and other issue types. Note that there is also an attribute for rail_crossing, which indicates if a crossing edge is a rail crossing. Use rail_crossing for track crossings that people walking, rolling or biking will need to cross, and that have active rail traffic. The ""rail tracks"" value here can be used on other edge types or to identify remaining or unused tracks no longer traveled by trains.","Text","Recommended","yes, no, detectable warning not aligned with crossing, push button not working, markings worn, markings missing, rail tracks, other","","","","","",""
